review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20250901-942013,CUST-10413,REST-DXB-001,Below expectations. Kulfi and Sweet Lassi were underwhelming. Sweet Lassi was overcooked and dry.,2,2025-09-05T14:49:49.864974
REV-000004,ORD-20250905-384217,CUST-10087,REST-DXB-001,Hands down the best Kulfi I've ever had! Kulfi were all prepared beautifully. Fresh and flavorful!,5,2025-09-06T14:44:16.864974
REV-000003,ORD-20250904-558366,CUST-10331,REST-DXB-001,Worst food ever! Fish Curry  Garlic Naan  Tandoori Roti  and Naan were all wrong. Tandoori Roti made me sick. Never ordering again!,1,2025-09-07T14:41:12.864974
REV-000002,ORD-20250903-144209,CUST-10042,REST-SHJ-001,Disaster! Malai Kofta were all stale. Malai Kofta had a weird smell. Completely unacceptable!,1,2025-09-07T20:28:48.864974
REV-000005,ORD-20250907-574998,CUST-10193,REST-DXB-002,Not bad  not great. Gajar Halwa  Naan  Sweet Lassi  Fish Curry  and Tandoori Roti were edible. Sweet Lassi needed more seasoning.,3,2025-09-12T14:02:14.864974
REV-000006,ORD-20250909-672443,CUST-10244,REST-AUH-001,Hands down the best Masala Chai I've ever had! Chicken Biryani  Masala Chai  Chicken Tikka Masala  Lamb Rogan Josh  and Naan were all prepared beautifully. Fresh and flavorful!,5,2025-09-13T13:12:31.864974
REV-000007,ORD-20250913-376712,CUST-10179,REST-SHJ-001,Not bad  not great. Malai Kofta  Fresh Lime Soda  Vegetable Biryani  Jeera Rice  and Sweet Lassi were edible. Malai Kofta needed more seasoning.,3,2025-09-14T12:22:44.864974
REV-000008,ORD-20250916-390113,CUST-10063,REST-DXB-001,Average experience. Fresh Lime Soda  Butter Chicken  Jeera Rice  Chicken Seekh Kebab  and Paneer Butter Masala were fine but Jeera Rice was a bit bland. Room for improvement.,3,2025-09-20T22:03:14.864974
REV-000009,ORD-20250918-483769,CUST-10099,REST-DXB-002,Best Indian food in UAE! Jeera Rice  Tandoori Roti  Fresh Lime Soda  Sweet Lassi  and Butter Naan were incredible. Sweet Lassi had the perfect balance of spices. Five stars!,5,2025-09-23T16:42:53.864974
REV-000010,ORD-20250919-623478,CUST-10174,REST-AUH-002,Best Indian food in UAE! Fresh Lime Soda  Dal Makhani  Butter Naan  Garlic Naan  and Vegetable Biryani were incredible. Dal Makhani had the perfect balance of spices. Five stars!,5,2025-09-26T13:41:24.864974
REV-000011,ORD-20250925-148074,CUST-10495,REST-AUH-001,Good quality food. Gajar Halwa  Chicken Seekh Kebab  Butter Naan  Dal Makhani  and Lamb Rogan Josh were nicely done. Lamb Rogan Josh could have been slightly spicier but still good!,4,2025-09-29T16:21:01.864974
REV-000012,ORD-20250926-196459,CUST-10082,REST-AUH-002,Absolutely horrible! Malai Kofta  Butter Chicken  Chicken 65  Rasmalai (2 pcs)  and Gulab Jamun (2 pcs) arrived ice cold after 2 hour delay. Rasmalai (2 pcs) was spoiled. Disgusting!,1,2025-09-30T22:59:30.864974
REV-000013,ORD-20250930-778715,CUST-10059,REST-SHJ-001,Wow! Just wow! Fish Curry  Gajar Halwa  Gulab Jamun (2 pcs)  Naan  and Sweet Lassi were all fantastic. Gajar Halwa was particularly memorable. Can't wait to order again!,5,2025-10-01T16:28:51.864974
